chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
3.8,3.0,3.4,4.4,3.4,"고용,강성만김지현 교수님",일반생물학및연습I 2017 생명과학부(57~끝),2017-1학기,교양
4.1,3.3,3.4,3.9,3.5,"김범석,송문정김현정 교수님",일반생물학및연습I 2017 생명공학부(201~260),2017-1학기,교양
3.2,3.2,3.0,3.8,3.0,"김정국,이철구강지현 교수님",일반생물학및연습I 2017 생명공학부(261~끝),2017-1학기,교양
3.9,3.3,3.9,4.3,3.3,"김태성,윤봉준임영복 교수님",일반생물학및연습I 2017 식품공학과(401~끝),2017-1학기,교양
2.9,3.6,3.6,4.2,3.2,"김준,배연재유상동 교수님",일반생물학및연습I 2017 환경생태공학부(501~끝),2017-1학기,교양
2.9,3.6,3.3,3.0,3.6,"이철구,지성길한경덕 교수님","일반생물학및연습I 이과대학,공과대학(Ⅱ)",2017-1학기,교양
3.0,3.5,3.5,4.0,2.5,"김재홍,김태성김지현 교수님",일반생물학및연습I 2017 간호대학(1~30),2017-1학기,교양
4.2,3.7,4.2,4.5,3.8,"임영복,정선도 교수님",일반생물학및연습I 2016 간호대학(31~끝),2017-1학기,교양
3.9,3.4,3.2,3.4,2.9,"강지현,정선도 교수님",일반생물학및연습I 2017 바이오의공학부,2017-1학기,교양
4.0,3.0,3.6,4.3,2.9,"김익환,박세호이남택 교수님",일반생물학및연습I 2017 바이오시스템의과학부(1~끝),2017-1학기,교양
3.4,4.4,2.9,3.0,3.8,옥승한 교수님,일반생물학및연습I 2017 보건환경융합과학부(1~60),2017-1학기,교양
5.0,3.2,3.5,4.0,3.5,"김지현,유성철 교수님",일반생물학및연습I 2017 보건환경융합과학부(61~끝),2017-1학기,교양
5.0,3.7,2.8,3.8,4.0,"유성철,김현정 교수님",일반생물학및연습I 생명과학대학(재수강/편입생/전체학과),2017-1학기,교양
3.6,3.5,3.0,3.2,3.2,"한경덕,이남택김현정 교수님",일반생물학및연습I 보건과학대학(재수강/편입생/전체학과),2017-1학기,교양
2.9,4.2,2.6,2.8,2.8,조용철 교수님,"일반생물학및연습I(영강) 외국국적,12년이상 외국에서 공부한 학생",2017-1학기,교양
