chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.9,3.1,3.1,3.5,3.5,오원옥 교수님,간호학개론,2018-1학기,전공선택
4.9,3.4,2.7,3.0,3.6,추진아 교수님,건강과식이 10:00~12:00,2018-1학기,전공선택
4.7,3.0,2.9,2.4,2.1,강지원 교수님,간호정보학및실습,2018-1학기,전공선택
4.3,2.3,4.5,4.5,3.0,추진아 교수님,"간호연구방법론 4-7교시, 7교시(17:00~17:30)",2018-1학기,전공선택
5.0,2.8,4.0,4.2,3.6,설근희 교수님,기초간호과학II,2018-1학기,전공선택
5.0,2.6,4.0,4.7,3.1,설근희 교수님,기초간호과학III,2018-1학기,전공선택
5.0,3.3,4.0,4.0,3.0,이창규 교수님,병원미생물학,2018-1학기,전공선택
4.9,3.4,2.7,3.1,2.9,설근희 교수님,기초간호과학실습II,2018-1학기,전공선택
1.0,5.0,1.0,1.0,2.0,설근희 교수님,기초간호과학실습II,2018-1학기,전공선택
4.1,2.9,2.9,2.4,3.0,서문경애 교수님,간호통계,2018-1학기,전공선택
5.0,2.8,3.6,4.6,3.3,장성옥 교수님,기본간호학I,2018-1학기,전공필수
5.0,3.0,3.5,2.8,3.5,장성옥 교수님,기본간호학실습I,2018-1학기,전공선택
5.0,3.0,3.0,3.0,4.0,박원희 교수님,기본간호학실습I,2018-1학기,전공선택
5.0,4.5,3.5,3.5,4.8,박원희 교수님,기본간호학실습I,2018-1학기,전공선택
4.8,3.6,4.2,4.4,4.0,"신나미,정선영 교수님","성인간호학II 수,금 주2회 수업수- 5교시금- 2교시(10:00~11:40)",2018-1학기,전공선택
5.0,3.7,4.3,5.0,4.7,"박수경,정선영 교수님","성인간호학III 화,금 주2회 수업화- 5교시금- 4,5교시(13:00~14:45)",2018-1학기,전공선택
5.0,4.0,3.0,3.0,4.0,박수경 교수님,성인간호학실습II,2018-1학기,전공선택
3.7,1.7,2.7,2.7,1.3,서문경애 교수님,"간호전문직과윤리 화,수 주2회 수업화- 4-5(14:00~14:30)교시수- 1-2교시",2018-1학기,전공선택
5.0,3.5,3.8,4.5,4.3,오원옥 교수님,"아동간호학I 수,목 주2회 수업수- 10:00~12:10목- 11:10~12:05",2018-1학기,전공필수
4.2,3.0,4.0,3.6,3.8,오원옥 교수님,아동간호학실습I,2018-1학기,전공선택
