chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.9,3.5,3.8,3.4,3.1,박광태 교수님,경영수학,2019-1학기,전공선택
4,3.3,2.9,3.3,2.8,조경아 교수님,세계경제와기업(영강),2019-1학기,전공선택
4.8,4.1,2,2.1,3.7,박찬수 교수님,마케팅원론,2019-1학기,전공필수
4.2,3,3.8,4,4.1,류강석 교수님,마케팅원론,2019-1학기,전공필수
4.7,3.5,3,3.8,4.1,유시진 교수님,마케팅원론(영강),2019-1학기,전공필수
4.8,3,2.8,3,2.7,Tony C. Garrett 교수님,마케팅원론(영강),2019-1학기,전공필수
4.7,3.8,2.4,2.5,3.2,윤성아 교수님,마케팅원론(영강),2019-1학기,전공필수
4.6,3.7,3.1,3.4,4.2,유원상 교수님,마케팅원론(영강),2019-1학기,전공필수
4.8,4.3,2.5,3.7,3.8,Fang-Chi Lu 교수님,마케팅원론(영강),2019-1학기,전공필수
4.6,4.2,2.8,3.1,3.7,이동욱 교수님,재무관리(영강),2019-1학기,전공필수
1.2,3,3.3,3.2,4,황준호 교수님,재무관리(영강),2019-1학기,전공필수
1.1,3.9,3.8,4.2,4.4,김우찬 교수님,재무관리(영강),2019-1학기,전공필수
4.5,3.5,3.9,3.4,4,박진관 교수님,재무관리(영강),2019-1학기,전공필수
3.7,3.4,3.2,2.8,3,정지웅 교수님,재무관리(영강),2019-1학기,전공필수
4.5,4.5,3.1,2.8,3.9,류두원 교수님,재무관리(영강),2019-1학기,전공필수
4.8,3.6,3,3.2,2.8,박광태 교수님,오퍼레이션스관리,2019-1학기,전공필수
1.4,3.5,4.1,4,4.1,김대기 교수님,오퍼레이션스관리,2019-1학기,전공필수
4,3.4,3.5,3.4,3.3,김대수 교수님,오퍼레이션스관리(영강),2019-1학기,전공필수
2.1,3.2,3.4,3.6,3.1,김기훈 교수님,오퍼레이션스관리(영강),2019-1학기,전공필수
2.8,3.6,3.1,3.2,4.3,신호정 교수님,오퍼레이션스관리(영강),2019-1학기,전공필수
4.9,3.9,2.5,2.5,3.1,정의범 교수님,오퍼레이션스관리(영강),2019-1학기,전공필수
4.8,3.8,4.4,4.3,3.9,윤성수 교수님,중급회계I,2019-1학기,전공필수
2.5,3.7,2.8,2.9,4.4,최우석 교수님,중급회계I(영강),2019-1학기,전공필수
2.6,3.2,3.1,3.3,4.2,최우석 교수님,중급회계I(영강),2019-1학기,전공필수
2.4,4.2,3,3.4,3.8,지승민 교수님,중급회계I(영강),2019-1학기,전공필수
2.3,4.1,3.1,3.2,3.7,지승민 교수님,중급회계I(영강),2019-1학기,전공필수
2.8,4.2,3.5,3.5,4.2,김재영 교수님,중급회계I(영강),2019-1학기,전공필수
3.5,3.9,3.8,3.9,3.7,김재영 교수님,중급회계I(영강),2019-1학기,전공필수
2.5,4.6,2.4,2.7,3.2,이상호 교수님,중급회계I(영강),2019-1학기,전공필수
2.7,3.4,4,4.1,3.8,배진한 교수님,중급회계II(영강),2019-1학기,전공선택
1.6,3.2,3,2.9,3.3,한재민 교수님,경영정보시스템,2019-1학기,전공필수
2.1,4.1,2.9,3.4,2.2,홍세준 교수님,경영정보시스템(영강),2019-1학기,전공필수
4.9,4,3,3,3.7,이재남 교수님,경영정보시스템(영강),2019-1학기,전공필수
4.8,4.2,3,3.1,2.5,이동원 교수님,경영정보시스템(영강),2019-1학기,전공필수
1.7,3.6,2.9,2.9,4,고병완 교수님,경영정보시스템(영강),2019-1학기,전공필수
4.7,4.8,2.2,2,2.4,함주연 교수님,경영정보시스템(영강),2019-1학기,전공필수
2.5,3.1,3.9,3.8,3.9,김기훈 교수님,비즈니스애널리틱스I(영강),2019-1학기,전공선택
4.9,3.7,2.6,2.5,2.8,이두희 교수님,광고론,2019-1학기,전공선택
4.8,3.9,2.5,3.2,3.4,Fang-Chi Lu 교수님,광고론(영강),2019-1학기,전공선택
4.6,3.2,3.6,3.8,4.1,윤성수 교수님,관리회계(영강),2019-1학기,전공선택
4.1,4.3,3.4,3.1,3.9,유승원 교수님,관리회계(영강),2019-1학기,전공선택
4.3,3.8,3.7,3.9,4.1,한승수 교수님,관리회계(영강),2019-1학기,전공선택
4.8,3.7,3.6,3.8,4.2,유시진 교수님,마케팅조사론(영강),2019-1학기,전공선택
4.7,3.7,2.8,3,3.3,유원상 교수님,마케팅조사론(영강),2019-1학기,전공선택
2.3,4,4,4,4,박경서 교수님,투자론(영강),2019-1학기,전공선택
2.8,3.9,3.2,3.2,3,정지웅 교수님,투자론(영강),2019-1학기,전공선택
1.2,3.7,3.8,4,4.4,손범진 교수님,투자론(영강),2019-1학기,전공선택
4.1,3.5,3.2,3,3.3,남대일 교수님,벤처경영,2019-1학기,전공선택
4.5,3.8,3.3,3.5,4.5,이준만 교수님,벤처경영,2019-1학기,전공선택
4.8,3.4,3.4,4.3,2.9,문형구 교수님,조직행동론,2019-1학기,전공필수
3,3.6,2.4,4.4,1.9,권성우 교수님,조직행동론(영강),2019-1학기,전공필수
3.5,3.4,3,3.5,4,전재욱 교수님,조직행동론(영강),2019-1학기,전공필수
3,2.7,2.9,3.3,3.2,이동섭 교수님,조직행동론(영강),2019-1학기,전공필수
4.6,3.3,2.9,3,1.9,김보라 교수님,조직행동론(영강),2019-1학기,전공필수
4.3,3.6,2.9,3.4,3,배보경 교수님,조직행동론,2019-1학기,전공필수
4.7,2.9,3.3,4.2,3.3,신만수 교수님,국제경영론,2019-1학기,전공필수
4.7,3.4,3.5,3.6,3.9,이재혁 교수님,국제경영론,2019-1학기,전공필수
4.5,3.7,4.3,4.2,4.2,문정빈 교수님,국제경영론(영강),2019-1학기,전공필수
3,2.5,3,2.5,3.5,정창화 교수님,국제경영론(영강),2019-1학기,전공필수
4.8,2.9,2.8,3.2,2.6,조경아 교수님,국제경영론(영강),2019-1학기,전공필수
4.8,4.1,2.6,3.3,2.2,김순성 교수님,국제경영론(영강),2019-1학기,전공필수
2.8,4.3,2.8,3,2,유다선 교수님,국제경영론(영강),2019-1학기,전공필수
1.6,3.5,4.1,2.9,3.5,고병완 교수님,소셜미디어애널리틱스(영강),2019-1학기,전공선택
4.7,3.6,3.7,4.1,3.6,김익수 교수님,지역연구(중국),2019-1학기,전공선택
4,3.7,2.7,3.3,3,Martin Hemmert 교수님,Korean Business & Management in the Global Context(영강),2019-1학기,전공선택
4.5,3.8,2.9,2.6,3.1,편주현 교수님,국제무역론(영강),2019-1학기,전공선택
3.6,1.9,2.8,3,2.8,정인식 교수님,국제마케팅론,2019-1학기,전공선택
1.2,2.8,2.9,3.4,3.7,박종원 교수님,소비자행동,2019-1학기,전공선택
4.5,3.6,3.8,4.4,4.5,류강석 교수님,소비자행동,2019-1학기,전공선택
2,3,2.5,2.7,2.5,석관호 교수님,소비자행동(영강),2019-1학기,전공선택
4.9,3.8,2.9,3.5,3.6,윤성아 교수님,소비자행동(영강),2019-1학기,전공선택
4.6,3.8,3.7,3.6,3.6,정재호 교수님,국제금융론(영강),2019-1학기,전공선택
3.6,3.6,3.6,3.9,3.1,조혜진 교수님,국제금융론(영강),2019-1학기,전공선택
1.5,2.6,3.4,3.1,1.7,정석우 교수님,세무회계,2019-1학기,전공선택
