chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
5,3.6,2.6,3.2,3.6,추진아 교수님,건강과식이(영강),2017-2학기,전공선택
5,3.3,3.6,2.4,3.7,전진영 교수님,간호진단 11:00-11:50,2017-2학기,전공선택
5,3.8,4.4,5,4.4,설근희 교수님,기초간호과학I,2017-2학기,전공선택
4.8,3.2,4.2,5,3.7,"설근희,강푸름 교수님",기초간호과학IV,2017-2학기,전공선택
5,4.5,2.3,1.8,2.3,"설근희,강푸름 교수님",기초간호과학실습I,2017-2학기,전공선택
5,4.5,2.5,2.3,3.5,전진영 교수님,생명윤리,2017-2학기,전공선택
4.4,3.1,3.1,4.1,3.7,장성옥 교수님,기본간호학II,2017-2학기,전공선택
5,5,3,5,5,장성옥 교수님,기본간호학실습II,2017-2학기,전공선택
4.5,2.8,3,3.8,3.3,박원희 교수님,기본간호학실습II,2017-2학기,전공선택
5,5,3,4,3,박원희 교수님,기본간호학실습II 14:30-15:45,2017-2학기,전공선택
5,3.5,4.7,4.9,4,"신나미,박수경 교수님",성인간호학I 10:45-12:00/12:15-13:30,2017-2학기,전공필수
4,3.7,4.3,4,3.7,"신나미,박수경홍세진 교수님",성인간호학IV,2017-2학기,전공선택
5,4,3,2.5,4.5,홍세진 교수님,성인간호학V 13:50-15:20,2017-2학기,전공선택
5,4.6,3.8,3.4,3.8,박수경 교수님,성인간호학실습I,2017-2학기,전공선택
3,3,3,3,3,전진영 교수님,성인간호학실습IV,2017-2학기,전공선택
4.4,4.1,3.4,3.1,4,전진영 교수님,성인간호학실습V,2017-2학기,전공선택
5,3.8,4.3,5,4,오원옥 교수님,아동간호학II 수요일 9:00-11:00,2017-2학기,전공선택
4.7,4,3.7,3.8,4.7,신현정 교수님,모성간호학II 수요일 15:30-17:30,2017-2학기,전공선택
5,3,1,5,1,송준아 교수님,노인간호학실습,2017-2학기,전공선택
4.5,2.5,3,3,2.5,설근희 교수님,간호학통합실습,2017-2학기,전공선택
3,2.7,3.3,3.7,2.7,유호신 교수님,보건의료관계법규,2017-2학기,전공선택
