chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.5,2.7,3.7,4.3,2.4,오원옥 교수님,간호학개론,2019-1학기,전공선택
5,2.9,2.5,2.8,3.2,추진아 교수님,건강과식이(영강) 10:00~12:00,2019-1학기,전공선택
5,4,3.2,3.2,3,강지원 교수님,간호정보학및실습 10:00~12:00,2019-1학기,전공선택
5,3,4,4,3,추진아 교수님,"간호연구방법론 수요일 : 13:00~15:15목요일 : 14:45~15:40, 15:55~16:45",2019-1학기,전공선택
5,3.8,4,4.4,4,설근희 교수님,기초간호과학II 9:00~10:50,2019-1학기,전공선택
4.7,3.5,4.7,4.6,3.6,설근희 교수님,기초간호과학III,2019-1학기,전공선택
5,3.7,3.9,4,3.3,이창규 교수님,병원미생물학,2019-1학기,전공선택
5,4,4,3,1,강푸름 교수님,기초간호과학실습II 11:00~12:50,2019-1학기,전공선택
4.9,4.6,3.7,2.6,3.9,"강푸름,한아영 교수님",기초간호과학실습II,2019-1학기,전공선택
4.4,3.3,2.6,2.1,3.3,서문경애 교수님,간호통계,2019-1학기,전공선택
5,3.4,4,4.4,4.7,장성옥 교수님,기본간호학I,2019-1학기,전공필수
4.6,4,3,4,4.2,장성옥 교수님,기본간호학실습I,2019-1학기,전공선택
5,3.5,3,3.5,4,박원희 교수님,기본간호학실습I,2019-1학기,전공선택
5,3.7,3.3,4,3.7,박원희 교수님,기본간호학실습I,2019-1학기,전공선택
4.9,3.3,4,4.6,3.6,"신나미,박수경 교수님",성인간호학I 목요일 : 9:30~10:55금요일 : 14:00~15:25,2019-1학기,전공필수
5,3,4,4.5,3.5,"신나미,박수경홍세진 교수님",성인간호학II 화요일 : 9:20~10:15 / 14:40~16:55,2019-1학기,전공선택
5,3.4,4,4.4,4.2,"김성렬,홍세진 교수님",성인간호학III 수요일 : 13:00~16:10,2019-1학기,전공선택
5,3,4,3,3,신나미 교수님,성인간호학실습II,2019-1학기,전공선택
5,4,5,5,4,박수경 교수님,성인간호학실습II,2019-1학기,전공선택
3,3,3,3,3,김성렬 교수님,성인간호학실습II,2019-1학기,전공선택
5,3.3,3.7,4.7,4.3,"오원옥,박일태 교수님",아동간호학I 수요일 : 9:30~11:45목요일 : 4교시 (13:00~13:50),2019-1학기,전공필수
3,3,3,3,3,오원옥 교수님,아동간호학실습I,2019-1학기,전공선택
4,4,4,4,4,박일태 교수님,아동간호학실습I,2019-1학기,전공선택
5,3.2,4.1,4.8,4.2,신현정 교수님,모성간호학I 화요일 : 10:30~11:55 / 13:00~14:25,2019-1학기,전공필수
5,3.7,2.6,2.7,3,송준아 교수님,노인간호학 목요일 : 14:00~16:10,2019-1학기,전공선택
4,4,3,4,4,박원희 교수님,간호학실습입문,2019-1학기,전공선택
5,3,3,3,5,박미연 교수님,"정신간호학II 화요일 : 1,2교시(9:00~11:45)금요일 : 13:05~16:45",2019-1학기,전공선택
4.7,4.3,2.6,2.6,4.2,신명철 교수님,Topic Course (전략적기술사업화),2019-1학기,전공선택
4.8,3.5,3.8,3.4,3,박광태 교수님,경영수학,2019-1학기,전공선택
