,ProfessorName,className
0,오원옥 교수님,간호학개론
1,강지원 교수님,간호정보학및실습
2,추진아 교수님,간호연구방법론
3,설근희 교수님,기초간호과학II
4,"설근희,강푸름 교수님",기초간호과학III
5,이창규 교수님,병원미생물학
6,"설근희,강푸름 교수님",기초간호과학실습II
7,서문경애 교수님,간호통계
8,장성옥 교수님,기본간호학I
9,장성옥 교수님,기본간호학실습I
10,박원희 교수님,기본간호학실습I
11,박수경 교수님,건강사정(영강)
12,전진영 교수님,건강사정실습
13,박수경 교수님,건강사정실습
14,"박수경,신나미 교수님",성인간호학II
15,"이숙자,전진영 교수님",성인간호학III
16,"이숙자,전진영 교수님",성인간호학실습II
17,서문경애 교수님,간호전문직과윤리
18,"박은숙,오원옥 교수님",아동간호학I
19,오원옥 교수님,아동간호학실습II
20,박영주 교수님,모성간호학I
21,신현정 교수님,모성간호학실습II
22,송준아 교수님,노인간호학
23,송준아 교수님,간호학실습입문
24,정미란 교수님,정신간호학II
25,추진아 교수님,지역보건의료체계
26,유호신 교수님,지역사회간호학개론
27,Jean-Henry Morin 교수님,Topic Course(영강) Design Thinking
28,박광태 교수님,경영수학
29,Inna Drobouchevitch 교수님,경영수학(영강)
30,조경아 교수님,세계경제와기업(영강)
31,박찬수 교수님,마케팅원론
32,이승민 교수님,마케팅원론
33,구교령 교수님,마케팅원론
34,윤성아 교수님,마케팅원론(영강)
35,Tony C. Garrett 교수님,마케팅원론(영강)
36,유원상 교수님,마케팅원론(영강)
37,Fang-Chi Lu 교수님,마케팅원론(영강)
38,이은영 교수님,마케팅원론(영강)
39,윤세정 교수님,마케팅원론(영강)
40,박경서 교수님,재무관리(영강)
41,김중혁 교수님,재무관리(영강)
42,김우찬 교수님,재무관리(영강)
43,황준호 교수님,재무관리(영강)
44,손범진 교수님,재무관리(영강)
45,박진관 교수님,재무관리(영강)
46,임찬우 교수님,재무관리
47,강상구 교수님,재무관리
48,정재웅 교수님,재무관리
49,최희정 교수님,재무관리(영강)
50,박명섭 교수님,오퍼레이션스관리
51,박광태 교수님,오퍼레이션스관리
52,김대기 교수님,오퍼레이션스관리
53,임호순 교수님,오퍼레이션스관리(영강)
54,김대수 교수님,오퍼레이션스관리(영강)
55,김병조 교수님,오퍼레이션스관리(영강)
56,김기훈 교수님,오퍼레이션스관리(영강)
57,임희주 교수님,오퍼레이션스관리(영강)
58,이남경 교수님,오퍼레이션스관리(영강)
59,최우석 교수님,중급회계I(영강)
60,이한상 교수님,중급회계I(영강)
61,지승민 교수님,중급회계I(영강)
62,최창규 교수님,중급회계I
63,두서영 교수님,중급회계I(영강)
64,추재연 교수님,중급회계I(영강)
65,이건 교수님,중급회계I(영강)
66,이건재 교수님,중급회계I(영강)
67,배길수 교수님,중급회계II
68,배진한 교수님,중급회계II(영강)
69,한재민 교수님,경영정보시스템
70,서용무 교수님,경영정보시스템
71,홍세준 교수님,경영정보시스템(영강)
72,이재남 교수님,경영정보시스템(영강)
73,Anat Zeelim-Hovav 교수님,경영정보시스템(영강)
74,이동원 교수님,경영정보시스템(영강)
75,문재윤 교수님,경영정보시스템(영강)
76,Jean-Henry Morin 교수님,경영정보시스템(영강)
77,최진희 교수님,광고론(영강)
78,Fang-Chi Lu 교수님,광고론(영강)
79,유관희 교수님,관리회계
80,김진배 교수님,관리회계
81,유승원 교수님,관리회계(영강)
82,한승수 교수님,관리회계(영강)
83,김현아 교수님,관리회계(영강)
84,김익수 교수님,기업경제학
85,김상용 교수님,마케팅조사론
86,유원상 교수님,마케팅조사론(영강)
87,손범진 교수님,투자론(영강)
88,강상구 교수님,투자론
89,임현일 교수님,투자론
90,남대일 교수님,벤처경영
91,김도윤 교수님,벤처경영
92,이동섭 교수님,조직행동론(영강)
93,전재욱 교수님,조직행동론(영강)
94,김태규 교수님,조직행동론(영강)
95,권성우 교수님,조직행동론(영강)
96,문형구 교수님,조직행동론
97,이목화 교수님,조직행동론
98,박지혜 교수님,조직행동론(영강)
99,조명현 교수님,국제경영론
100,이재혁 교수님,국제경영론
101,정인식 교수님,국제경영론(영강)
102,정창화 교수님,국제경영론(영강)
103,문정빈 교수님,국제경영론(영강)
104,조경아 교수님,국제경영론(영강) 교환학생전용(Exchange students only)
105,김순성 교수님,국제경영론(영강)
106,김은미 교수님,국제경영론(영강)
107,박혜연 교수님,국제경영론(영강)
108,김익수 교수님,지역연구(중국)
109,Martin Hemmert 교수님,Korean Business & Management in the Global Context(영강)
110,편주현 교수님,국제무역론(영강)
111,한재민 교수님,IT기반비즈니스모델
112,문재윤 교수님,소셜컴퓨팅과비즈니스(영강)
113,박종원 교수님,소비자행동
114,석관호 교수님,소비자행동(영강)
115,윤성아 교수님,소비자행동(영강)
116,김용덕 교수님,국제금융론
117,정재호 교수님,국제금융론(영강)
118,정석우 교수님,세무회계
119,김동원 교수님,노사관계론
120,김광현 교수님,인적자원관리(영강)
121,이한상 교수님,고급회계(영강)
122,채서일 교수님,마케팅전략
123,이종호 교수님,마케팅전략(영강)
124,이동욱 교수님,국제재무관리(영강)
125,정지웅 교수님,국제재무관리(영강)
126,김중혁 교수님,기업재무(영강)
127,황준호 교수님,기업재무(영강)
128,나현승 교수님,기업재무(영강)
129,박진관 교수님,기업재무(영강)
130,김동철 교수님,선물옵션(영강)
131,김도완 교수님,선물옵션
132,정호원 교수님,IT서비스평가
133,이장혁 교수님,서비스마케팅(영강)
134,김재환 교수님,현대기아차글로벌마케팅전략
135,권성우 교수님,비즈니스협상(영강)
136,김언수 교수님,"경영전략(영강) 경영대학 전공생에 한함,(3,4학년 수강제한)"
137,김영규 교수님,"경영전략(영강) 경영대학 전공생에 한함,(3,4학년 수강제한)"
138,조명현 교수님,"경영전략 경영대학 전공생에 한함,(3,4학년 수강제한)"
139,이재혁 교수님,"경영전략 경영대학 전공생에 한함,(3,4학년 수강제한)"
140,김봉선 교수님,"경영전략(영강) 경영대학 전공생에 한함,(3,4학년 수강제한)"
141,문정빈 교수님,소셜벤처창업
